title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Saw,movie,"Horror, Mystery, Thriller",2004.0,7.6,481897.0,"AO, AU, BF, BZ, CD, CM, ES, GB, GG, IN, JP, MG, ML, MW, NI, NO, PE, PT, SE, TD, TZ, ZW"
Blown Away,movie,"Action, Crime, Drama",1994.0,6.2,34630.0,"AD, AE, AG, AL, AR, BA, BB, BG, BH, BM, BO, BS, BZ, CL, CO, CR, CZ, DO, DZ, EC, EE, EG, ES, FR, GF, GT, HN, HR, HU, IN, IQ, IT, JM, JO, KW, LB, LC, LT, LV, LY, MA, MC, MD, MK, MT, MX, NI, OM, PA, PE, PF, PL, PS, PT, PY, QA, RO, RS, SA, SI, SK, SM, SV, TC, TN, TT, US, UY, VA, VE, YE"
Minority Report,movie,"Action, Crime, Mystery",2002.0,7.6,595162.0,"AD, CU, ES, IN, JP, SN, TZ"
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,7.7,120358.0,"CA, ES, US"
Mean Streets,movie,"Crime, Drama, Thriller",1973.0,7.2,122402.0,"AD, AT, CH, DE, ES, SN"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,6.2,498133.0,"AD, ES, FR, GB, GF, GG, GI, IE, JP, MC, PF, PT, US"
The Terminator,movie,"Action, Adventure, Sci-Fi",1984.0,8.1,948574.0,"AD, AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, JP, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
The Outsiders,movie,"Crime, Drama",1983.0,7.0,101844.0,"AD, AT, DE, ES, JP, PT"
King Kong,movie,"Adventure, Horror",1933.0,7.9,92734.0,"AD, CA, ES, SM, VA"
The Blind Swordsman: Zatoichi,movie,"Action, Comedy, Crime",2003.0,7.4,52134.0,ES
Ghost,movie,"Drama, Fantasy, Romance",1990.0,7.1,242791.0,"AD, AT, DE, ES, PT"
The 39 Steps,movie,"Crime, Mystery, Thriller",1935.0,7.6,62887.0,"AT, DE, ES, GB, GG, JP, SE, US"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,8.6,1209044.0,"AD, AG, AR, AT, BB, BM, BO, BR, BS, CL, CO, CR, DE, DO, EC, ES, GB, GG, GI, GT, HN, IE, IN, JM, JP, LC, MX, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Bull Durham,movie,"Comedy, Romance, Sport",1988.0,7.0,60841.0,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
Casablanca,movie,"Drama, Romance, War",1942.0,8.5,621186.0,"AD, ES, PT"
The Science of Sleep,movie,"Comedy, Drama, Fantasy",2006.0,7.2,71296.0,ES
"Rome, Open City",movie,"Drama, Thriller, War",1945.0,8.0,30374.0,"ES, JP"
Catwoman,movie,"Action, Crime, Fantasy",2004.0,3.4,127861.0,"AD, ES, GB, GG, GI, IE, IN"
True Romance,movie,"Crime, Drama, Romance",1993.0,7.9,247998.0,"ES, GB, GG, IE, US"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,8.2,1097059.0,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GR, GT, GY, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
