title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Hunger Games: Mockingjay - Part 2",movie,"Action, Adventure, Sci-Fi",2015,tt1951266,6.6,385413,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
Mama,movie,"Fantasy, Horror, Thriller",2013,tt2023587,6.2,194437,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Before Midnight",movie,"Drama, Romance",2013,tt2209418,7.9,176402,"AD, BA, BG, CZ, ES, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"The Butler",movie,"Biography, Drama",2013,tt1327773,7.2,120891,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Capturing Mary",movie,Drama,2007,tt0899052,6.7,2164,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, US, UY, VE"
"The Grand Heist",movie,"Action, Comedy, History",2012,tt2448584,6.2,988,"HK, ID, MY, SG, TH"
"First Cousin Once Removed",movie,Documentary,2012,tt2615134,7.5,414,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Long Live the Family",movie,"Crime, Drama",2011,tt2241479,6.6,155,"CZ, SK"
"Promised Land",movie,Drama,2012,tt2091473,6.6,40315,"DK, FI, NO, SE"
"A Perfect Plan",movie,"Adventure, Comedy, Romance",2012,tt1986843,6.3,10083,"FR, MC"
"Clear History",movie,Comedy,2013,tt2279864,6.4,19872,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
Carrie,movie,"Drama, Horror, Thriller",2013,tt1939659,5.8,150972,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Scenes from a Marriage",movie,Drama,1974,tt6725014,8.3,9194,US
