title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Godfather,movie,"Crime, Drama",1972.0,9.2,2076685.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Live Flesh,movie,Drama,1997.0,7.3,34368.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Batman Begins,movie,"Action, Drama",2005.0,8.2,1618061.0,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IT, JP, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, SM, TH, TW"
The Shawshank Redemption,movie,Drama,1994.0,9.3,2976586.0,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,8.6,1209044.0,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,5.5,96357.0,"ES, KR, NZ"
Mystic River,movie,"Crime, Drama, Mystery",2003.0,7.9,496470.0,"AD, BE, CH, ES, FR, GF, IT, LU, MC, PF, PT, SM"
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,7.5,388756.0,"AD, ES, GB, GG, IE, PT"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,7.1,225643.0,"AD, AE, AO, BH, CH, CV, CY, DK, DZ, EG, ES, FI, GH, GQ, GR, HK, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LY, MA, MC, MZ, NG, NO, OM, PL, PS, PT, QA, SA, SC, SE, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,6.5,489712.0,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
