title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,6.9,373519.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
Catwoman,movie,"Action, Crime, Fantasy",2004.0,3.4,127852.0,"AD, BE, ES, FR, MC, PT"
The Devil Wears Prada,movie,"Comedy, Drama",2006.0,6.9,487496.0,"AD, ES, PT, US"
Batman Returns,movie,"Action, Crime, Fantasy",1992.0,7.1,335579.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
A Nightmare on Elm Street,movie,Horror,1984.0,7.4,273333.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Batman Forever,movie,"Action, Adventure",1995.0,5.4,271316.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Batman & Robin,movie,"Action, Sci-Fi",1997.0,3.8,272837.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Good Will Hunting,movie,"Drama, Romance",1997.0,8.3,1107591.0,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
Titanic,movie,"Drama, Romance",1997.0,7.9,1316479.0,"AD, DK, ES, FI, NO, PT, SE"
City of God,movie,"Crime, Drama",2002.0,8.6,822121.0,"AD, AR, BO, BR, CL, CO, CR, DO, EC, ES, FR, GT, HN, MC, MX, NI, PA, PE, PT, PY, SV, UY, VE"
