Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0120815,7,2021-10-19,"Salvar al soldado Ryan","Saving Private Ryan",https://www.imdb.com/title/tt0120815,Película,8.6,169,1998,"Drama, Bélico",1539452,"1998-09-18","Steven Spielberg"
tt0120689,9,2021-10-19,"La milla verde","The Green Mile",https://www.imdb.com/title/tt0120689,Película,8.6,189,1999,"Crimen, Fantasía, Misterio, Drama",1452315,"2000-02-18","Frank Darabont"
tt0364569,8,2021-10-19,"Old Boy","Oldeuboi",https://www.imdb.com/title/tt0364569,Película,8.3,120,2003,"Misterio, Suspense, Acción, Drama",660198,"2005-01-28","Park Chan-wook"
tt3460252,7,2021-10-19,"Los odiosos ocho","The Hateful Eight",https://www.imdb.com/title/tt3460252,Película,7.8,168,2015,"Del oeste, Drama, Suspense, Misterio, Crimen",677596,"2016-01-15","Quentin Tarantino"
tt1853728,9,2021-10-19,"Django desencadenado","Django Unchained",https://www.imdb.com/title/tt1853728,Película,8.5,165,2012,"Del oeste, Drama, Comedia",1749171,"2013-01-18","Quentin Tarantino"
tt0117883,9,2021-09-06,"Tesis","Tesis",https://www.imdb.com/title/tt0117883,Película,7.4,125,1996,"Misterio, Crimen, Terror, Suspense",43683,"1996-04-12","Alejandro Amenábar"
tt0765429,8,2021-09-05,"American Gangster","American Gangster",https://www.imdb.com/title/tt0765429,Película,7.8,157,2007,"Drama, Crimen, Biografía",464736,"2007-12-28","Ridley Scott"
tt0119488,8,2021-09-04,"L.A. Confidential","L.A. Confidential",https://www.imdb.com/title/tt0119488,Película,8.2,138,1997,"Crimen, Drama, Suspense, Misterio",632554,"1997-11-07","Curtis Hanson"
tt0113277,9,2021-08-30,"Heat","Heat",https://www.imdb.com/title/tt0113277,Película,8.3,170,1995,"Drama, Acción, Crimen",739460,"1996-02-09","Michael Mann"
tt0117381,8,2021-08-30,"Las dos caras de la verdad","Primal Fear",https://www.imdb.com/title/tt0117381,Película,7.7,129,1996,"Crimen, Misterio, Drama, Suspense",254065,"1996-04-26","Gregory Hoblit"
tt7175992,6,2021-08-26,"La última lección","L'heure de la sortie",https://www.imdb.com/title/tt7175992,Película,6.5,104,2018,"Suspense, Drama, Misterio",3210,"2019-05-24","Sébastien Marnier"
tt7048622,8,2021-08-25,"El insulto","L'insulte",https://www.imdb.com/title/tt7048622,Película,7.6,113,2017,"Drama, Crimen, Suspense",18397,"2017-09-14","Ziad Doueiri"
tt0118715,7,2021-08-24,"El gran Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715,Película,8.1,117,1998,"Crimen, Comedia",878084,"1998-04-24","Joel Coen,Ethan Coen"
tt1045658,8,2021-08-24,"El lado bueno de las cosas","Silver Linings Playbook",https://www.imdb.com/title/tt1045658,Película,7.7,122,2012,"Comedia, Drama, Romance",752525,"2013-01-25","David O. Russell"
tt2980516,7,2021-08-24,"La teoría del todo","The Theory of Everything",https://www.imdb.com/title/tt2980516,Película,7.7,123,2014,"Drama, Biografía, Romance",489829,"2015-01-16","James Marsh"
