Title,Release_year,Duration,Duration_in_minutes,Rating,Content_rating,No_of_votes,No_of_votes_numeric
2001: A Space Odyssey,1968,2h 29m,149,8.3,G, 739K,739000
Reservoir Dogs,1992,1h 39m,99,8.3,R, 1.1M,1100000
Lawrence of Arabia,1962,3h 47m,227,8.3,PG, 323K,323000
The Apartment,1960,2h 5m,125,8.3,Approved, 203K,203000
Incendies,2010,2h 11m,131,8.3,R, 216K,216000
Scarface,1983,2h 50m,170,8.3,R, 943K,943000
North by Northwest,1959,2h 16m,136,8.3,Approved, 355K,355000
Double Indemnity,1944,1h 47m,107,8.3,Approved, 172K,172000
Citizen Kane,1941,1h 59m,119,8.3,PG, 475K,475000
M,1931,1h 39m,99,8.3,Passed, 174K,174000
Heat,1995,2h 50m,170,8.3,R, 739K,739000
Vertigo,1958,2h 8m,128,8.3,PG, 438K,438000
Full Metal Jacket,1987,1h 56m,116,8.2,R, 809K,809000
Up,2009,1h 36m,96,8.3,PG, 1.2M,1200000
Oppenheimer,2023,3h,180,8.3,R, 823K,823000
Amélie,2001,2h 2m,122,8.3,R, 808K,808000
A Clockwork Orange,1971,2h 16m,136,8.2,R, 899K,899000
To Kill a Mockingbird,1962,2h 9m,129,8.3,Approved, 339K,339000
A Separation,2011,2h 3m,123,8.3,PG-13, 265K,265000
The Sting,1973,2h 9m,129,8.3,PG, 286K,286000
Die Hard,1988,2h 12m,132,8.2,R, 967K,967000
Like Stars on Earth,2007,2h 42m,162,8.3,PG, 213K,213000
Indiana Jones and the Last Crusade,1989,2h 7m,127,8.2,PG-13, 826K,826000
Metropolis,1927,2h 33m,153,8.3,Not Rated, 191K,191000
Snatch,2000,1h 42m,102,8.2,R, 930K,930000
1917,2019,1h 59m,119,8.2,R, 706K,706000
L.A. Confidential,1997,2h 18m,138,8.2,R, 632K,632000
Bicycle Thieves,1948,1h 29m,89,8.3,Not Rated, 180K,180000
Downfall,2004,2h 36m,156,8.2,R, 383K,383000
Taxi Driver,1976,1h 54m,114,8.2,R, 954K,954000
Hamilton,2020,2h 40m,160,8.3,PG-13, 122K,122000
Dangal,2016,2h 41m,161,8.3,Not Rated, 219K,219000
The Wolf of Wall Street,2013,3h,180,8.2,R, 1.6M,1600000
Batman Begins,2005,2h 20m,140,8.2,PG-13, 1.6M,1600000
For a Few Dollars More,1965,2h 12m,132,8.2,R, 282K,282000
Green Book,2018,2h 10m,130,8.2,PG-13, 608K,608000
Some Like It Hot,1959,2h 1m,121,8.2,Approved, 289K,289000
The Truman Show,1998,1h 43m,103,8.2,PG, 1.2M,1200000
Judgment at Nuremberg,1961,2h 59m,179,8.3,Approved, 88K,88000
The Kid,1921,1h 8m,68,8.2,Passed, 139K,139000
The Father,2020,1h 37m,97,8.2,PG-13, 204K,204000
Shutter Island,2010,2h 18m,138,8.2,R, 1.5M,1500000
All About Eve,1950,2h 18m,138,8.2,Approved, 142K,142000
There Will Be Blood,2007,2h 38m,158,8.2,R, 657K,657000
Jurassic Park,1993,2h 7m,127,8.2,PG-13, 1.1M,1100000
Casino,1995,2h 58m,178,8.2,R, 579K,579000
Top Gun: Maverick,2022,2h 10m,130,8.2,PG-13, 744K,744000
The Sixth Sense,1999,1h 47m,107,8.2,PG-13, 1.1M,1100000
Ran,1985,2h 40m,160,8.2,R, 140K,140000
Pan's Labyrinth,2006,1h 58m,118,8.2,R, 715K,715000
No Country for Old Men,2007,2h 2m,122,8.2,R, 1.1M,1100000
Unforgiven,1992,2h 10m,130,8.2,R, 446K,446000
The Thing,1982,1h 49m,109,8.2,R, 486K,486000
A Beautiful Mind,2001,2h 15m,135,8.2,PG-13, 1M,1000000
Kill Bill: Vol. 1,2003,1h 51m,111,8.2,R, 1.2M,1200000
The Treasure of the Sierra Madre,1948,2h 6m,126,8.2,Approved, 135K,135000
Yojimbo,1961,1h 50m,110,8.2,Not Rated, 135K,135000
The Wild Robot,2024,1h 42m,102,8.3,PG, 94K,94000
Prisoners,2013,2h 33m,153,8.2,R, 844K,844000
Finding Nemo,2003,1h 40m,100,8.2,G, 1.1M,1100000
The Great Escape,1963,2h 52m,172,8.2,Approved, 264K,264000
Monty Python and the Holy Grail,1975,1h 31m,91,8.2,PG, 580K,580000
Howl's Moving Castle,2004,1h 59m,119,8.2,PG, 469K,469000
The Elephant Man,1980,2h 4m,124,8.2,PG, 265K,265000
Rashomon,1950,1h 28m,88,8.2,Not Rated, 186K,186000
Dial M for Murder,1954,1h 45m,105,8.2,PG, 194K,194000
Gone with the Wind,1939,3h 58m,238,8.2,G, 341K,341000
Chinatown,1974,2h 10m,130,8.1,R, 359K,359000
The Secret in Their Eyes,2009,2h 9m,129,8.2,R, 228K,228000
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,107,8.1,R, 627K,627000
Inside Out,2015,1h 35m,95,8.1,PG, 843K,843000
V for Vendetta,2005,2h 12m,132,8.1,R, 1.2M,1200000
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,115,8.1,R, 570K,570000
Klaus,2019,1h 36m,96,8.2,PG, 200K,200000
Raging Bull,1980,2h 9m,129,8.1,R, 389K,389000
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,1h 27m,87,8.8,NA, 27K,27000
The Bridge on the River Kwai,1957,2h 41m,161,8.1,PG, 238K,238000
Trainspotting,1996,1h 33m,93,8.1,R, 740K,740000
Catch Me If You Can,2002,2h 21m,141,8.1,PG-13, 1.1M,1100000
Fargo,1996,1h 38m,98,8.1,R, 741K,741000
Warrior,2011,2h 20m,140,8.1,PG-13, 507K,507000
Spider-Man: No Way Home,2021,2h 28m,148,8.2,PG-13, 920K,920000
Gran Torino,2008,1h 56m,116,8.1,R, 828K,828000
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,130,8.1,PG-13, 975K,975000
Million Dollar Baby,2004,2h 12m,132,8.1,PG-13, 735K,735000
My Neighbor Totoro,1988,1h 26m,86,8.1,G, 396K,396000
Mad Max: Fury Road,2015,2h,120,8.1,R, 1.1M,1100000
Ben-Hur,1959,3h 32m,212,8.1,G, 259K,259000
Barry Lyndon,1975,3h 5m,185,8.1,PG, 189K,189000
Children of Heaven,1997,1h 29m,89,8.2,PG, 83K,83000
12 Years a Slave,2013,2h 14m,134,8.1,R, 754K,754000
Blade Runner,1982,1h 57m,117,8.1,R, 841K,841000
Before Sunrise,1995,1h 41m,101,8.1,R, 350K,350000
The Grand Budapest Hotel,2014,1h 39m,99,8.1,R, 909K,909000
Hacksaw Ridge,2016,2h 19m,139,8.1,R, 619K,619000
Dead Poets Society,1989,2h 8m,128,8.1,PG, 572K,572000
Gone Girl,2014,2h 29m,149,8.1,R, 1.1M,1100000
Memories of Murder,2003,2h 12m,132,8.1,Not Rated, 229K,229000
In the Name of the Father,1993,2h 13m,133,8.1,R, 192K,192000
Maharaja,2024,2h 21m,141,8.5,NA, 56K,56000
The Gold Rush,1925,1h 35m,95,8.1,Approved, 121K,121000
"Monsters, Inc.",2001,1h 32m,92,8.1,G, 1M,1000000
Wild Tales,2014,2h 2m,122,8.1,R, 223K,223000
Ratatouille,2007,1h 51m,111,8.1,G, 860K,860000
How to Train Your Dragon,2010,1h 38m,98,8.1,PG, 824K,824000
The Deer Hunter,1978,3h 3m,183,8.1,R, 370K,370000
Jaws,1975,2h 4m,124,8.1,PG, 681K,681000
Sherlock Jr.,1924,45m,45,8.2,Passed, 60K,60000
The General,1926,1h 18m,78,8.1,Passed, 101K,101000
Mary and Max,2009,1h 32m,92,8.1,Not Rated, 192K,192000
On the Waterfront,1954,1h 48m,108,8.1,Approved, 169K,169000
The Wages of Fear,1953,2h 36m,156,8.1,Not Rated, 68K,68000
Ford v Ferrari,2019,2h 32m,152,8.1,PG-13, 504K,504000
Mr. Smith Goes to Washington,1939,2h 9m,129,8.1,Approved, 124K,124000
Wild Strawberries,1957,1h 32m,92,8.1,Not Rated, 118K,118000
The Third Man,1949,1h 33m,93,8.1,Approved, 187K,187000
Logan,2017,2h 17m,137,8.1,R, 871K,871000
Rocky,1976,2h,120,8.1,PG, 647K,647000
Tokyo Story,1953,2h 17m,137,8.1,Not Rated, 71K,71000
The Big Lebowski,1998,1h 57m,117,8.1,R, 877K,877000
The Seventh Seal,1957,1h 36m,96,8.1,Not Rated, 204K,204000
Spotlight,2015,2h 9m,129,8.1,R, 511K,511000
Room,2015,1h 58m,118,8.1,R, 461K,461000
The Terminator,1984,1h 47m,107,8.1,R, 948K,948000
Hotel Rwanda,2004,2h 1m,121,8.1,PG-13, 379K,379000
Platoon,1986,2h,120,8.1,R, 448K,448000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,143,8.1,PG-13, 1.2M,1200000
La haine,1995,1h 38m,98,8.1,Not Rated, 205K,205000
Before Sunset,2004,1h 20m,80,8.1,R, 296K,296000
Jai Bhim,2021,2h 44m,164,8.7,Approved, 222K,222000
The Passion of Joan of Arc,1928,1h 54m,114,8.1,Passed, 63K,63000
The Best Years of Our Lives,1946,2h 50m,170,8.1,Approved, 73K,73000
The Exorcist,1973,2h 2m,122,8.1,R, 469K,469000
The Wizard of Oz,1939,1h 42m,102,8.1,G, 440K,440000
The Incredibles,2004,1h 55m,115,8,PG, 835K,835000
Rush,2013,2h 3m,123,8.1,R, 525K,525000
Network,1976,2h 1m,121,8.1,R, 175K,175000
Stand by Me,1986,1h 29m,89,8.1,R, 454K,454000
Hachi: A Dog's Tale,2009,1h 33m,93,8.1,G, 321K,321000
The Sound of Music,1965,2h 52m,172,8.1,G, 269K,269000
A Man Escaped,1956,1h 41m,101,8.2,Not Rated, 27K,27000
My Father and My Son,2005,1h 52m,112,8.2,Not Rated, 95K,95000
The Handmaiden,2016,2h 25m,145,8.1,Not Rated, 181K,181000
To Be or Not to Be,1942,1h 39m,99,8.1,Approved, 45K,45000
Into the Wild,2007,2h 28m,148,8.1,R, 670K,670000
The Iron Giant,1999,1h 26m,86,8.1,PG, 237K,237000
The Battle of Algiers,1966,2h 1m,121,8.1,Not Rated, 68K,68000
The Grapes of Wrath,1940,2h 9m,129,8.1,Approved, 102K,102000
Groundhog Day,1993,1h 41m,101,8,PG, 702K,702000
Amores Perros,2000,2h 34m,154,8,R, 257K,257000
Rebecca,1940,2h 10m,130,8.1,Approved, 150K,150000
The Help,2011,2h 26m,146,8.1,PG-13, 504K,504000
A Silent Voice: The Movie,2016,2h 10m,130,8.1,Not Rated, 110K,110000
Cool Hand Luke,1967,2h 7m,127,8,Approved, 192K,192000
